,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,age,sex,clustersByLoc,province,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
3916,ZCWZvmLfvI,free_union,Ama de casa,lessThanprimary,18.458634,-69.2156042,37.0,female,0,Lavega,1-2,everyday,bottled,N,cementPoor,poor,Al Musa Hospital,Other,Other,0,other,3,0,rented,N
3917,igPTN3DDUd,married,Ama de casa,lessThanprimary,18.4547621,-69.2072167,72.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,burned,7,1,owned,Y
3918,Ysdb7qB7zh,free_union,Other,lessThanprimary,18.4585959,-69.2063457,37.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,0,burned,7,2,rented,
3919,OJyLsnaMbC,free_union,Ama de casa,someHighSchool,18.4585959,-69.2063457,29.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,0,burned,6,2,rented,
3920,TdnVPxrWsN,single,Other,lessThanprimary,18.4591547,-69.23440959999999,32.0,male,0,Lavega,moreThan10,everyday,bottled,N,cementWorking,working,Other,Al Musa Hospital,Other,0,burned,4,0,rented,N
3921,VD78j4FYNT,single,Ama de casa,someHighSchool,18.4585959,-69.2063457,33.0,female,0,Lavega,5-10,everyday,bottled,N,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Other,0,burned,4,3,rented,N
3922,H79CjdfUkQ,single,Other,lessThanprimary,18.4900881,-69.26209870000001,66.0,female,0,Lavega,moreThan10,2-3AWeek,bottled,,cementPoor,poor,Al Musa Hospital,Al Musa Hospital,Garbage,1-2,street,1,0,owned,Y
3923,VZkkySD29I,married,Other,lessThanprimary,18.4585959,-69.2063457,72.0,male,0,Lavega,moreThan10,2-3AWeek,bottled,,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Garbage,1-2,street,3,0,owned,Y
3924,Cvq0KN6UGQ,free_union,Other,lessThanprimary,18.4631753,-69.2328619,29.0,male,0,Lavega,lessThan1,everyday,bottled,Y,dirtWorking,poor,Other Hospital,Al Musa Hospital,Other,0,other,3,1,rented,
3925,sTFo9sI3t9,single,Other,lessThanprimary,18.4631753,-69.2328619,26.0,male,0,Lavega,moreThan10,everyday,bottled,N,cementWorking,poor,Al Musa Hospital,Al Musa Hospital,Other,0,burned,4,0,rented,N
3926,XICxfDOkRl,single,Other,someHighSchool,18.4586407,-69.2156366,28.0,male,0,Lavega,1-2,everyday,bottled,Y,cementPoor,working,Al Musa Hospital,Other,Unemployment,0,other,1,0,rented,
3927,kuixv7ItUX,free_union,Ama de casa,lessThanprimary,18.4585959,-69.2063457,35.0,female,0,Lavega,5-10,everyday,bottled,N,cementWorking,poor,Al Musa Hospital,Al Musa Hospital,Other,0,burned,6,1,rented,N
