,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,city,province,age,sex
705,OrwjduvabV,married,Other,highschool,18.90434472,-70.74285253,Constanza,La Vega,29.0,male
706,2UxGBiSXhG,married,Other,college,18.9044085,-70.74272629999999,Constanza,La Vega,47.0,female
707,jLgIyv1rwy,single,Other,someHighSchool,18.9044085,-70.74272629999999,Constanza,La Vega,37.0,female
708,TAz0FuF57Q,single,Other,highschool,18.9044085,-70.74272629999999,Constanza,La Vega,32.0,male
709,MVTaM7nJ4P,single,Other,lessThanprimary,18.9038608,-70.7428032,Constanza,La Vega,51.0,female
710,JIeZ3vKdLb,single,Other,someCollege,18.903723,-70.75177049999999,Constanza,La Vega,50.0,female
711,sEvAb7jyni,concubine,Comerciante,someCollege,18.9037223,-70.75177099999999,Constanza,La Vega,48.0,male
712,959wOdYkQY,single,Estudiante,college,18.903723,-70.75177049999999,Constanza,La Vega,20.0,female
713,wRWxNbDYKv,concubine,Other,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,43.0,male
714,oIJz2lkc5k,concubine,Ama de casa,someHighSchool,18.911763399999998,-70.74540909999999,Constanza,La Vega,25.0,female
715,16RdGiVURf,single,Estudiante,primary,18.903717699999998,-70.75177420000001,Constanza,La Vega,13.0,female
716,Eu3UbNnsH6,single,Other,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,37.0,male
717,PchbeufBCw,single,Other,someHighSchool,18.903717699999998,-70.75177459999999,Constanza,La Vega,53.0,male
718,vgGY9Awycx,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,44.0,female
719,UA5i1xQUwE,single,Other,college,18.903717699999998,-70.75177420000001,Constanza,La Vega,43.0,male
720,AoCH229Luz,single,Other,someHighSchool,18.909485600000004,-70.7476061,Constanza,La Vega,28.0,male
721,RGdD7DEfaA,widow,Ama de casa,someHighSchool,18.9037175,-70.75177420000001,Constanza,La Vega,81.0,female
722,nS9J4rTchp,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,56.0,female
723,A5vO6WktO7,married,Comerciante,college,18.903729100000003,-70.75177559999999,Constanza,La Vega,46.0,male
724,prtRzgSJF0,single,Other,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,22.0,male
725,UPLFO2pO7p,married,Ama de casa,college,18.9037174,-70.7517748,Constanza,La Vega,61.0,female
726,VpRyXQzBA0,concubine,Other,college,18.9104724,-70.7464923,Constanza,La Vega,50.0,male
727,42sxptp1qF,single,Estudiante,highschool,18.903723,-70.75177049999999,Constanza,La Vega,20.0,male
728,pVquZ7BUvd,single,Estudiante,highschool,18.903717699999998,-70.7517745,Constanza,La Vega,,male
729,io8C9q1bwO,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,37.0,female
730,mEwinJH8EH,married,Ama de casa,lessThanprimary,18.911371300000003,-70.7482554,Constanza,La Vega,,female
731,3lOTxxtA8Q,single,Other,highschool,18.9037171,-70.75177540000001,Constanza,La Vega,21.0,male
732,bh8UkTKNDk,concubine,Ama de casa,college,18.909485600000004,-70.7476061,Constanza,La Vega,27.0,female
733,8f5stbxtBm,single,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,,female
734,gd4gwLCiJ9,concubine,Other,primary,18.909485600000004,-70.7476061,Constanza,La Vega,42.0,female
735,VGdOfbaRIW,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,26.0,female
736,6NzllkR04w,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,47.0,female
737,93N94A7nMN,concubine,Other,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,51.0,male
738,RUgBUeJRSO,concubine,Other,someHighSchool,18.9007452,-70.73975870000001,Constanza,La Vega,24.0,male
739,RThO3itee0,single,Other,lessThanprimary,18.9126244,-70.7447865,Constanza,La Vega,39.0,male
740,OJgKpw7Bb1,concubine,Other,someHighSchool,18.9063229,-70.7434892,Constanza,La Vega,35.0,female
741,42BgnNoohb,concubine,Other,someHighSchool,18.9063229,-70.7434892,Constanza,La Vega,43.0,male
742,PiV8FFvsiA,concubine,Other,college,18.9063229,-70.7434892,Constanza,La Vega,47.0,male
743,1QDTaVoGjN,concubine,Other,highschool,18.9042816,-70.7428542,Constanza,La Vega,38.0,female
744,TGlSDHT5Fp,single,Other,highschool,18.91044709,-70.74769507,Constanza,La Vega,68.0,female
745,k1RD3czE00,single,Other,highschool,18.91043782,-70.74769771,Constanza,La Vega,61.0,female
746,rwCS2CcuVZ,married,Other,highschool,18.9008483,-70.7397066,Constanza,La Vega,50.0,male
747,H7R5S93G8p,married,Other,someHighSchool,18.910436999999998,-70.74768923,Constanza,La Vega,33.0,female
748,eik1N2ZOjo,married,Other,highschool,18.91043623,-70.7476883,Constanza,La Vega,45.0,male
