,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
884,shFye7FwUo,moreThan10,2-3AWeek,tap,Y,cementWorking,poor,Other Hospital,Other,Other,1-2,outside house,2,0,owned,
885,sIbHU0Je4Q,moreThan10,2-3AWeek,tap,Y,cementWorking,poor,Clinic,Other,Water,1-2,outside house,2,0,rented,
886,V4JZZBvSRd,3-4,everyday,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,5,1,rented,
887,V4JZZBvSRd,3-4,everyday,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,5,1,rented,
888,nhrmVBOH2r,1-2,1AWeek,bottled,Y,cementWorking,poor,Clinic,Other,Other,1-2,outside house,4,1,rented,
889,JEzK8fCrQc,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Garbage,1-2,sidewalk,2,0,owned,
890,zGFGBUHCTk,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Garbage,1-2,sidewalk,1,0,owned,
891,k6eZ90KBHB,3-4,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Water,1-2,street,4,0,owned,
892,yGvEo6HGrC,1-2,everyday,bottled,Y,cementWorking,working,Clinic,Other,Garbage,1-2,sidewalk,3,0,rented,
893,YVTc5Q8oQ2,5-10,everyday,bottled,Y,cementPoor,working,Clinic,Other,Other,1-2,street,5,0,rented,
894,YVTc5Q8oQ2,5-10,everyday,bottled,Y,cementPoor,working,Clinic,Other,Other,1-2,street,5,0,rented,
895,YVTc5Q8oQ2,5-10,everyday,bottled,Y,cementPoor,working,Clinic,Other,Other,1-2,street,5,0,rented,
896,YVTc5Q8oQ2,5-10,everyday,bottled,Y,cementPoor,working,Clinic,Other,Other,1-2,street,5,0,rented,
897,YVTc5Q8oQ2,5-10,everyday,bottled,Y,cementPoor,working,Clinic,Other,Other,1-2,street,5,0,rented,
898,znGtHEapFU,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1-2,outside house,4,0,owned,
899,ld1Nzbz5aQ,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Garbage,1-2,sidewalk,5,2,rented,
900,F8mIJLh31N,moreThan10,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other,Garbage,1-2,sidewalk,6,1,rented,
901,Gmmp9a2Dqz,3-4,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Delinquents,1-2,street,4,1,rented,
902,IzglApEASI,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other,Other,Other,1-2,other,4,0,owned,
903,zHqWQdjlvQ,3-4,everyday,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,4,1,rented,
904,SCo1Ibi7Pp,lessThan1,everyday,bottled,Y,cementWorking,working,Other,Other,Garbage,1-2,sidewalk,2,0,rented,
905,rHumPTA5fG,lessThan1,2-3AWeek,bottled,Y,cementWorking,poor,Other Hospital,Other Hospital,Delinquents,1-2,street,4,0,owned,
906,hoGoiMU9XM,1-2,2-3AWeek,bottled,Y,cementPoor,poor,Clinic,Other,Water,1-2,street,4,0,owned,
907,aCy3Nex2fq,3-4,2-3AWeek,tap,Y,cementPoor,poor,Other Hospital,Other,Other,0,street,4,1,owned,
908,OowKcJzZfs,3-4,2-3AWeek,tap,Y,cementPoor,poor,Other Hospital,Other Hospital,Other,1-2,street,4,1,rented,
909,lxguCXr1si,1-2,1AWeek,tap,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1-2,street,7,1,owned,
910,omjkqygC2E,lessThan1,2-3AWeek,bottled,Y,dirtPoor,poor,Other Hospital,Other Hospital,Water,1-2,street,4,0,owned,
911,xPVfSEuQdz,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,5,0,owned,
912,dn704fluxw,lessThan1,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Water,1-2,street,2,0,owned,
913,6J7Vyi1Dcv,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1-2,street,2,0,owned,
914,C8JmVzzNGm,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Water,1-2,street,2,0,owned,
915,qFybSWYB8g,moreThan10,2-3AWeek,bottled,Y,dirtWorking,poor,Other Hospital,Other Hospital,Roads,1-2,outside house,8,3,owned,
916,qFybSWYB8g,moreThan10,2-3AWeek,bottled,Y,dirtWorking,poor,Other Hospital,Other Hospital,Roads,1-2,outside house,8,3,owned,
